,Volumes(>200D),Volumes(All),DollarVolumes(>200D),DollarVolumes(All),prices
2020-10-05 05:00:00,120.91158256999998,57866.58464921007,1291391.321175582,618041742.682502,10680.46
2020-10-05 06:00:00,68.88540712999999,53743.828555049695,733196.2967236522,572033725.429668,10643.71
2020-10-05 07:00:00,208.91581876,108957.24791496992,2234028.772960935,1165127793.143856,10693.44
2020-10-05 08:00:00,1284.47115119,35532.11146378012,13711292.818761848,379293208.95795524,10674.66
2020-10-05 09:00:00,62.46950662000002,26458.02621513002,667360.4898313278,282650564.8957097,10682.98
2020-10-05 10:00:00,276.38497535999994,58549.65033480997,2951667.1636058884,625283918.2331197,10679.55
2020-10-05 11:00:00,163.39946151000004,52494.01595413987,1743070.2916363857,559982014.9514253,10667.54
2020-10-05 12:00:00,222.5603984699999,61217.69282648984,2380610.6254224004,654813214.7877636,10696.47
2020-10-05 13:00:00,212.44260942,16531.812578060082,2279732.263816491,177403707.36579162,10731.05
2020-10-05 14:00:00,622.28245148,49930.34710878001,6674999.835343427,535584858.51092404,10726.64
2020-10-05 15:00:00,43.05456877,109848.35310172064,461866.59484311193,1178394912.448115,10727.47
